predictions,references
"Summary: This is a conversation about Watchlist not updating with new episodes. user: @hulu_support My watchlist is not updating with new episodes (past couple days). Any idea why? agent: @658975 Apologies for the trouble, Norlene! We're looking into this. In the meantime, try navigating to the season / episode manually.",Customer is complaining that my watch list is not updating with the new episodes. Agent updated to recommend checking the show page for these shows as the new eps will be there.
"user: @AirbnbHelp hi, my Acc was linked to an old number. Any way that I can link my Acc to my current number? Thank you. agent: @637109 That is no problem. Please let us know if you have any further questions in the meantime. user: @AirbnbHelp Hi sorry, is it for my account : __email__ agent: @637109 Can you please delete this post as it does have personal info in it. we have updated","Customer is enquiring that whether they can change the current number to link the account as they have old number which was linked. Agent states that they have updated to case manager, they will look into it and also to DM for further assistance."
"user: @AppleSupport I can’t even use some apps on my phone. agent: @368952 we want your iPhone to work properly, and we are here for you. Which apps are giving you trouble, and which iPhone? user: @AppleSupport 6s. Words with friends user: @AppleSupport Words pro agent: @368952 thanks for checking. Next, what happens in that app that makes it unusable? agent: @368952 thanks for confirming this",Customer is complaining that they are unable to use some apps because of the new update ios11. Agent updates to DM through the given URL and they will work for it.
user: @UPSHelp FUCK YOU AND YOUR SHITTY PARCEL SERVICE your delivery drivers are fucking lazy cunts. agent: @696741 We don't want to leave you feeling this way. Please provide more details so that we can help you. DM us. LD https://t.co/wKJHDXWGRQ user: @UPSHelp Well isn’t that 3 service levels?,Customer is frustrated that the delivery drivers are lazy and delivery is made on time. Agent updated that package will be deliver on time and asked customer to DM for further tracking.
"MB Summary: BK user: @SW_Help why no information or advice being passed on to passengers on the platform? @SW_Help agent: @507897 Hi, due to electric supply problems trains are not running to Reading. https://t.co/32WcR5jrvQ BK user: @SW_Help Yeah I can see it has changed back to Wokingham again. this is appalling! BK user: @SW_Help And you change your mind","Customer has been Stuck at Staines  waiting for a Reading train, and complaints that there is no information or advice being passed on to passengers on the platform. Agent updates that they have been informed  by engineers that the line is open again and the trains can now run between Wokingham and Reading."
"user: @sainsburys Do you stock this at Leicester Fosse Park? If so, which aisle? Thank you! agent: @265508 Hi Lynn! This product will be available in aisle 7. If you struggle to locate it, one of our colleagues will be able to help! user: @sainsburys Yep! Very weird agent: @265508 Thanks Lynn. We'll look into this and get back to you ASAP!","The customer asks whether the product is stocked at Leicester Fosse Park and adds that after walking for 15 minutes up and down aisle 7, 8 and 9 he didn't find the required stock there. The agent informs that the product is available in aisle 7 and asks to DM the customer's Nectar card number using the link provided to assist further."
user: @NikeSupport I’ve consistently done better/longer than the suggestions. this morning it asked to update plan using my new (improved) times &amp; it cut next week’s runs by more than half &amp; slowed my times even more. why? agent: @791446 Let's figure this out. Did you complete all workouts in your previous week in your Coach plan? user: @NikeSupport I'm using an iPhone 7+ version 11.1.2,Customer complaining that he updated the plan and it cut next weeks run by more than half and slowed his times even more. Agent asking is he complete all the workouts of previous week  and he will be assisting him better over phone please give a call.
user: @LondonMidland you had Fucked off home leaving your passengers stranded for three hours it’s appalling agent: @267282 our standard hours currently are 7am - 7pm Monday to Friday. We work to those hours user: @LondonMidland So you don’t do overtime if it means your customers need help? agent: @267282 we would like a full response as we are contracted to those hours user: @LondonMidland So you,Customer is complaining for not responding to the tweets at the time of need. Agent states that he cannot respond unless it is standard working hours.
"user: @Ask_Spectrum I have the 60mb plan but I watch many commercials saying they offer 100mb for the same price. agent: @127318 I am sorry, the advertisements are package/product prices for new customers. If you would like to upgrade that plan we can investigate. SS user: @Ask_Spectrum I’m good. I enjoy giving my hard earned money away. Thanks Summary: SS user: @Ask_Spectrum I’m",Customer is complaining that other commercials are offering 100mb instead of 60mb for more money. Agent updates that the advertisements are package/product prices for new customers and requests to contact their billing specialist for further assistance.
"user: @CenturyLinkHelp why do you hate me? agent: @116072 I assure you we don't hate you. -Scott user: @CenturyLinkHelp Scott, there isn’t anything that you could help me with. you guys only provide 3mbps to my house. that’s it. user: @CenturyLinkHelp I can’t do anything with the service your company provides... but sadly it’s the only option for me...",Customer is complaining about the slowness in the available service at his location. Agent is requesting for the address in order to investigate further  via Direct message.
